Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,46.135715,46.211430,45.901428,46.080002,30.726294,48377000
2011-01-03,46.520000,47.180000,46.405716,47.081429,31.394041,111284600
2011-01-04,47.491428,47.500000,46.878571,47.327145,31.557884,77270200
2011-01-05,47.078571,47.762856,47.071430,47.714287,31.816027,63879900
2011-01-06,47.817142,47.892857,47.557144,47.675713,31.790306,75107200
2011-01-07,47.712856,48.049999,47.414288,48.017143,32.017971,77982800
2011-01-10,48.404285,49.032856,48.167141,48.921429,32.620960,112140000
2011-01-11,49.268570,49.279999,48.495716,48.805714,32.543804,111027000
2011-01-12,49.035713,49.204285,48.857143,49.202858,32.808609,75647600
2011-01-13,49.308571,49.520000,49.121429,49.382858,32.928646,74195100
2011-01-14,49.412857,49.782856,49.205715,49.782856,33.195358,77210000
2011-01-18,47.074287,49.251427,46.571430,48.664288,32.449497,470249500
2011-01-19,49.764286,49.799999,48.125713,48.405716,32.277077,283903200
2011-01-20,48.061428,48.328571,47.160000,47.525715,31.690289,191197300
2011-01-21,47.681427,47.840000,46.661430,46.674286,31.122555,188600300
2011-01-24,46.695713,48.207142,46.674286,48.207142,32.144680,143670800
2011-01-25,48.047142,48.777142,47.795715,48.771427,32.520935,136717000
2011-01-26,48.994286,49.371429,48.785713,49.121429,32.754322,126718900
2011-01-27,49.111427,49.241428,48.975716,49.029999,32.693359,71256500
2011-01-28,49.167141,49.200001,47.647144,48.014286,32.016071,148014300
2011-01-31,47.971428,48.577145,47.757141,48.474285,32.322800,94311700
2011-02-01,48.757141,49.378571,48.711430,49.290001,32.866718,106658300
2011-02-02,49.207142,49.321430,49.078571,49.188572,32.799084,64738800
2011-02-03,49.114285,49.177143,48.364285,49.062859,32.715263,98449400
2011-02-04,49.091427,49.528572,49.072857,49.500000,33.006752,80460100
2011-02-07,49.698570,50.464287,49.662857,50.268570,33.519241,121255400
2011-02-08,50.525715,50.788570,50.307144,50.742859,33.835499,95260200
2011-02-09,50.741428,51.285713,50.695713,51.165714,34.117451,120686300
2011-02-10,51.055714,51.428570,49.714287,50.648571,33.772621,232137500
2011-02-11,50.678570,51.114285,50.505714,50.978573,33.992664,91893200
2011-02-14,50.970001,51.354286,50.958572,51.311428,34.214615,77604100
2011-02-15,51.312859,51.424286,51.078571,51.414288,34.283215,71043700
2011-02-16,51.542858,52.128571,51.500000,51.875713,34.590885,120289400
2011-02-17,51.035713,51.467144,50.931427,51.185715,34.130787,132645800
2011-02-18,51.244286,51.357143,49.931427,50.080002,33.393494,204014300
2011-02-22,48.878571,49.342857,48.245716,48.372856,32.255165,218138900
2011-02-23,48.395714,49.234287,48.372856,48.945713,32.637150,167963600
2011-02-24,49.145714,49.307144,48.338570,48.982857,32.661915,124975200
2011-02-25,49.322857,49.775715,49.257141,49.737144,33.164890,95004700
2011-02-28,50.177143,50.721428,50.160000,50.458572,33.645931,100768500
2011-03-01,50.781429,50.817142,49.668571,49.901428,33.274429,114034200
2011-03-02,49.994286,50.621429,49.771427,50.302856,33.542088,150647700
2011-03-03,51.027142,51.398571,50.845715,51.365715,34.250820,125197100
2011-03-04,51.438572,51.470001,51.107143,51.428570,34.292721,113316700
2011-03-07,51.628571,51.667141,50.187141,50.765713,33.850731,136530800
2011-03-08,50.701427,51.057144,50.321430,50.822857,33.888828,89079200
2011-03-09,50.669998,50.680000,50.085712,50.352856,33.575436,113326500
2011-03-10,49.874287,49.967144,49.271427,49.524284,33.022934,126884800
2011-03-11,49.332859,50.331429,49.285713,50.284286,33.529716,117770100
2011-03-14,50.454285,50.925713,50.187141,50.508572,33.679264,108989300
2011-03-15,48.871429,49.691429,48.585712,49.347141,32.904827,180270300
2011-03-16,48.857143,49.000000,46.608570,47.144287,31.435949,290502800
2011-03-17,48.118572,48.515713,47.237144,47.805714,31.876999,164855600
2011-03-18,48.161430,48.314285,47.142857,47.238571,31.498819,188303500
2011-03-21,47.998573,48.534286,47.894287,48.471428,32.320900,102350500
2011-03-22,48.937141,48.945713,48.448570,48.742859,32.501877,81480700
2011-03-23,48.468571,48.602856,47.992859,48.455715,32.310410,93249100
2011-03-24,48.835712,49.428570,48.408573,49.281429,32.861008,101178000
2011-03-25,49.724285,50.294285,49.574287,50.220001,33.486847,112227500
2011-03-28,50.450001,50.617142,50.062859,50.062859,33.382069,77338800
2011-03-29,49.665714,50.137142,49.437141,50.137142,33.431599,88225200
2011-03-30,50.091427,50.125713,49.634285,49.804287,33.209652,82351500
2011-03-31,49.480000,49.971428,49.437141,49.787144,33.198215,68504800
2011-04-01,50.158573,50.227142,49.042858,49.222858,32.821949,104665400
2011-04-04,49.187141,49.228573,48.342857,48.741428,32.500927,115021200
2011-04-05,48.141430,48.892857,48.000000,48.412857,32.281834,120682800
2011-04-06,48.745716,49.128571,48.162857,48.291428,32.200867,100634800
2011-04-07,48.299999,48.632858,48.004284,48.297142,32.204689,93361800
2011-04-08,48.560001,48.592857,47.707142,47.865715,31.917002,94383800
2011-04-11,47.722858,47.952858,47.145714,47.257141,31.511202,99736700
2011-04-12,47.212856,47.675713,47.171429,47.485714,31.663605,106409800
2011-04-13,47.860001,48.020000,47.502857,48.018570,32.018929,86555000
2011-04-14,47.828571,48.000000,47.437141,47.488571,31.665525,75450200
2011-04-15,47.614285,47.662857,46.685715,46.779999,31.193041,113401400
2011-04-18,46.585712,47.461430,45.737144,47.407143,31.611231,152474700
2011-04-19,47.585712,48.282856,47.387142,48.265713,32.183723,104844600
2011-04-20,49.072857,49.392857,48.785713,48.915714,32.617138,175166600
2011-04-21,50.714287,50.732857,49.788570,50.099998,33.406834,188452600
2011-04-25,50.048573,50.535713,50.042858,50.430000,33.626881,66636500
2011-04-26,50.517143,50.712856,49.907143,50.060001,33.380161,84700000
2011-04-27,50.320000,50.335712,49.585712,50.021427,33.354439,89053300
2011-04-28,49.455715,49.964287,49.360001,49.535713,33.030563,90239800
2011-04-29,49.540001,50.564285,49.524284,50.018570,33.352528,251586300
2011-05-02,49.962856,50.067142,49.357143,49.468571,32.985802,110678400
2011-05-03,49.712856,49.984287,49.374287,49.742859,33.168682,78337000
2011-05-04,49.751427,50.261429,49.554287,49.938572,33.299194,97312600
2011-05-05,49.771427,50.135715,49.435715,49.535713,33.030563,83992300
2011-05-06,49.955715,50.000000,49.458572,49.522858,33.021980,70033600
2011-05-09,49.694286,49.885715,49.504284,49.657143,33.111526,51186800
2011-05-10,49.841427,49.955715,49.522858,49.921429,33.287750,70522900
2011-05-11,49.860001,50.000000,49.320000,49.604286,33.076286,84000000
2011-05-12,49.445713,49.588570,48.895714,49.509998,33.013409,80500000
2011-05-13,49.380001,49.464287,48.621429,48.642857,32.435215,81529000
2011-05-16,48.457142,48.745716,47.514286,47.614285,31.749353,112443800
2011-05-17,47.428570,48.020000,47.247143,48.020000,32.019882,113083600
2011-05-18,48.067142,48.721428,48.000000,48.552856,32.375191,83694100
2011-05-19,48.868572,48.915714,48.381428,48.647144,32.438053,65292500
2011-05-20,48.508572,48.707142,47.860001,47.888573,31.932243,84492100
2011-05-23,47.138573,47.997143,47.060001,47.771427,31.854137,95900000
2011-05-24,47.928570,47.985714,47.334286,47.455715,31.643616,80481800
2011-05-25,47.632858,48.365715,47.549999,48.111427,32.080837,73556000
2011-05-26,47.995716,48.127144,47.775715,47.857143,31.911287,55640200
2011-05-27,47.828571,48.232857,47.758572,48.201427,32.140858,50899800
2011-05-31,48.728573,49.689999,48.714287,49.689999,33.133434,104438600
2011-06-01,49.838570,50.304287,49.235714,49.358570,32.912437,138670700
2011-06-02,49.500000,49.711430,49.185715,49.442856,32.968647,84695800
2011-06-03,49.025715,49.332859,48.858570,49.062859,32.715263,78312500
2011-06-06,49.385715,49.578571,48.258572,48.291428,32.200867,115485300
2011-06-07,48.310001,48.317142,47.414288,47.434284,31.629322,132446300
2011-06-08,47.397144,47.828571,47.235714,47.462856,31.648376,83430900
2011-06-09,47.607143,47.667141,47.250000,47.355713,31.576935,68772200
2011-06-10,47.221428,47.380001,46.501427,46.557144,31.044445,108488800
2011-06-13,46.742859,46.901428,46.438572,46.657143,31.111126,82368300
2011-06-14,47.142857,47.607143,47.044285,47.491428,31.667425,83642300
2011-06-15,47.107143,47.185715,46.411430,46.678570,31.125412,99799000
2011-06-16,46.700001,46.954285,45.475716,46.451427,30.973942,127647800
2011-06-17,46.998573,47.035713,45.622856,45.751427,30.507185,153755000
2011-06-20,45.337143,45.385715,44.357143,45.045715,30.036621,160161400
2011-06-21,45.240002,46.542858,45.028572,46.471428,30.987289,123345600
2011-06-22,46.451427,46.985714,46.054287,46.087143,30.731043,97645800
2011-06-23,45.562859,47.384285,45.445713,47.318573,31.552164,139939800
2011-06-24,47.338570,47.592857,46.441429,46.621429,31.087305,109951800
2011-06-27,46.798573,47.700001,46.750000,47.434284,31.629322,84953400
2011-06-28,47.664288,48.099998,47.634285,47.894287,31.936058,73574900
2011-06-29,48.005714,48.052856,47.411430,47.720001,31.819839,88136300
2011-06-30,47.814285,48.018570,47.548573,47.952858,31.975109,80738700
2011-07-01,47.992859,49.071430,47.742859,49.037144,32.698116,108828300
2011-07-05,49.000000,49.975716,48.928570,49.918571,33.285854,88763500
2011-07-06,49.849998,50.585712,49.529999,50.251427,33.507801,111156500
2011-07-07,50.667141,51.142857,50.571430,51.028572,34.026009,99915900
2011-07-08,50.477142,51.428570,50.314285,51.387142,34.265106,122408300
2011-07-11,50.905716,51.395714,50.402859,50.571430,33.721180,110668600
2011-07-12,50.504284,51.097141,49.802856,50.535713,33.697361,112902300
2011-07-13,51.189999,51.428570,50.911430,51.145714,34.104115,97909700
2011-07-14,51.572857,51.658573,50.905716,51.110001,34.080307,107633400
2011-07-15,51.595715,52.142857,51.310001,52.131428,34.761387,121116800
2011-07-18,52.204285,53.521427,52.182858,53.400002,35.607288,143163300
2011-07-19,54.000000,54.092857,53.331429,53.835712,35.897812,204786400
2011-07-20,56.588570,56.610001,55.142857,55.271427,36.855156,235335100
2011-07-21,55.278572,55.722858,54.842857,55.327145,36.892319,131633600
2011-07-22,55.474285,56.435715,55.392857,56.185715,37.464806,129182200
2011-07-25,55.764286,57.142857,55.660000,56.928570,37.960136,147451500
2011-07-26,57.142857,57.785713,57.097141,57.630001,38.427864,119145600
2011-07-27,57.227142,57.520000,56.021427,56.084286,37.397175,164831100
